Actual Temperature,Predicted Temperature,Absolute Error
58.9375,60.370213,1.4327126
56.125,60.280605,4.1556053
62.875,59.761444,3.113556
56.5625,60.10727,3.5447693
55.625,59.695488,4.070488
58.8125,59.440826,0.6283264
57.5,59.93399,2.4339905
61.3125,59.757782,1.554718
63.6875,59.837376,3.8501244
59.125,60.868896,1.7438965
58.1875,60.678604,2.4911041
61.4375,60.27631,1.16119
56.0625,60.44628,4.3837814
62.9375,59.780857,3.156643
57.8125,60.46502,2.6525192
63.4375,60.15933,3.2781715
59.8125,61.42795,1.6154518
63.0,61.077744,1.9222565
58.3125,61.817787,3.5052872
60.25,60.70803,0.4580307
62.8125,60.704468,2.1080322
59.375,61.507576,2.132576
54.9375,61.066284,6.128784
58.9375,60.217453,1.279953
57.625,60.025986,2.4009857
60.3125,59.992043,0.32045746
63.375,60.274746,3.100254
61.0,61.005043,0.00504303
60.75,61.287964,0.53796387
60.5,61.4311,0.93109894
60.125,61.474396,1.3493958
62.3125,61.266735,1.0457649
59.0625,61.358917,2.2964172
61.1875,60.729465,0.45803452
60.0,61.171654,1.1716537
62.375,61.15455,1.2204514
60.875,61.533707,0.65870667
60.375,61.54739,1.17239
60.375,61.5616,1.1865997
62.1875,61.56846,0.61904144
63.0,61.860382,1.1396179
58.5625,61.95502,3.392521
59.75,60.864113,1.1141129
58.6875,60.777622,2.0901222
60.8125,60.67153,0.14096832
60.0625,60.758835,0.69633484
58.875,60.74574,1.870739
60.75,60.25046,0.49953842
58.5,60.637917,2.1379166
65.875,60.38739,5.48761
63.25,61.50779,1.7422104
60.5,61.723366,1.2233658
58.8125,61.466644,2.6541443
59.0625,60.965416,1.902916
59.75,60.90557,1.155571
60.25,61.116497,0.86649704
62.0,61.27489,0.7251091
62.9375,61.8259,1.111599
63.875,62.076454,1.7985458
62.6875,62.894764,0.20726395
61.75,62.573586,0.8235855
63.0,62.284286,0.7157135
62.0625,62.59376,0.53126144
57.8125,62.18052,4.368019
63.3125,61.460403,1.8520966
62.625,62.647327,0.022327423
62.5625,62.738148,0.17564774
63.0625,62.73667,0.32582855
61.625,63.080257,1.4552574
61.4375,62.622936,1.1854362
61.75,62.717648,0.96764755
